837,499,497,499,502,495,498,499,500,503,502,495,497,499,497,500,503,502,499,493,500,497,498,497,503,502,497,500,497,501,501,500,502,500,500,501,500,501,498,498,502,500,503,497,498,500,501,499,496,502,498,498,501,500,498,499,500,502,502,501,499,500,497,497,495,500,498,497,501,499,499,496,500,500,501,499,503,503,502,501,497,500,502,498,501,501,498,504,503,500,501,501,501,498,502,498,501,500,500,499,498,499,499,493,501,502,500,496,501,499,501,501,502,503,501,497,499,497,496,499,503,500,498,494,499,497,504,501,501,500,496,496,499,503,501,498,504,498,503,497,497,503,500,496,502,495,501,499,497,497,503,497,503,502,501,502,500,495,500,499,500,501,502,501,502,503,503,500,500,498,497,497,499,498,503,501,503,499,501,503,500,500,499,498,501,502,498,504,496,493,502,501,495,498,501,497,497,500,502,498,501,499,496,503,501,504,496,497,495,503,500,498,499,500,496,501,503,501,497,494,499,496,498,494,496,504,499,500,500,497,502,499,503,500,498,496,501,500,502,504,493,504,499,500,494,500,501,502,495,505,499,496,497,501,502,498,498,
841,502,503,503,503,499,500,500,501,494,499,505,496,499,502,505,500,499,506,503,497,500,499,500,501,501,500,496,497,499,498,498,501,501,495,501,502,501,499,499,499,501,502,497,497,504,501,502,497,500,506,498,496,505,495,504,502,502,500,500,502,495,501,499,500,500,503,503,503,498,498,499,503,498,499,503,503,499,497,499,494,495,500,502,501,498,503,500,502,499,506,496,502,496,499,505,502,499,497,503,505,500,499,501,499,500,497,504,496,502,500,500,496,503,502,503,496,498,501,500,500,499,494,499,499,499,504,503,497,501,493,498,506,502,500,502,498,503,500,497,504,499,499,498,497,503,500,503,500,500,500,499,500,501,500,501,502,500,500,496,502,502,496,505,502,500,493,499,498,496,497,498,499,495,498,496,498,495,498,496,498,496,501,499,496,499,500,498,493,501,500,496,506,499,503,497,494,498,501,493,505,501,500,501,495,501,503,498,499,498,502,497,501,497,500,496,501,499,499,503,505,496,500,499,500,499,498,499,499,500,504,499,499,499,498,501,503,497,502,504,503,502,495,501,505,497,504,497,501,499,501,501,505,499,499,499,498,
845,503,500,497,503,502,502,498,499,500,503,502,499,500,497,503,501,495,500,503,498,505,497,501,501,497,505,499,500,497,498,498,502,499,496,500,506,497,503,499,497,497,501,498,500,502,502,501,499,501,498,501,499,502,503,501,496,496,500,503,504,501,497,498,504,500,502,496,501,497,499,503,496,501,505,497,498,501,500,498,498,499,500,503,503,498,499,500,495,499,501,496,500,498,498,502,499,496,496,498,501,499,500,497,498,503,502,496,504,501,501,504,502,501,496,506,496,497,499,497,500,499,499,504,500,497,502,500,494,499,501,499,501,497,502,499,497,499,498,500,496,504,500,497,496,502,498,504,498,500,498,504,498,497,501,502,499,499,498,497,500,501,496,502,501,500,502,505,502,501,497,499,499,499,496,502,500,496,497,498,497,499,500,501,505,501,505,500,503,503,500,496,502,502,497,498,501,502,499,496,500,502,500,499,496,501,497,497,504,497,500,500,501,497,499,500,495,501,498,506,496,502,501,504,504,501,499,496,500,499,501,501,497,501,500,501,501,501,502,497,500,497,499,501,502,503,502,498,501,500,504,505,502,498,501,501,500,
849,498,504,504,496,505,499,500,496,497,496,500,502,497,502,501,500,498,495,501,499,499,496,500,499,497,501,502,500,499,500,501,499,500,503,500,499,497,497,502,496,500,499,494,500,501,499,502,500,494,500,500,500,494,499,501,500,499,500,503,496,499,502,498,505,502,497,501,501,496,501,499,502,500,502,501,499,497,496,499,503,497,496,498,497,498,503,499,502,499,497,504,501,499,498,499,503,500,498,502,497,502,499,499,502,500,503,497,505,499,498,500,501,503,495,499,503,497,498,503,500,498,502,503,500,497,500,502,506,503,505,497,497,498,500,499,503,496,501,497,501,501,500,502,501,504,502,495,501,502,495,496,501,499,497,496,496,501,503,501,501,499,509,498,498,497,505,502,504,502,504,505,500,502,499,503,500,503,501,498,501,498,502,499,499,498,501,500,502,501,495,502,498,505,499,503,499,500,499,502,499,498,498,498,500,500,497,500,500,501,498,504,499,499,503,498,493,501,497,497,503,498,502,504,499,502,496,500,502,501,497,496,498,503,498,507,501,502,501,497,506,499,500,496,502,501,498,497,502,500,506,500,501,500,504,499,505,
853,497,499,500,499,500,498,499,498,499,500,499,496,499,501,499,501,501,500,504,502,498,500,499,497,502,501,499,500,498,500,499,501,498,506,501,499,499,498,498,498,499,496,503,500,498,500,496,499,497,501,500,501,502,496,495,498,499,499,497,501,503,501,502,496,503,498,499,498,501,504,502,503,499,502,502,500,500,504,498,499,497,499,495,500,499,500,503,499,500,498,502,499,502,499,495,500,502,501,499,496,497,498,502,498,503,495,499,497,498,502,501,502,495,500,498,498,502,504,501,498,500,503,500,503,500,498,502,502,506,499,500,496,499,496,498,501,500,500,503,501,498,498,502,504,497,498,496,499,499,498,504,498,500,498,501,503,496,501,501,498,499,503,502,501,505,500,500,501,500,498,495,502,502,505,501,498,500,501,501,502,503,503,495,501,497,499,498,500,497,504,503,495,500,499,496,503,503,496,505,499,497,499,501,502,502,503,504,498,503,499,501,500,503,498,492,498,496,497,499,501,502,495,501,499,501,502,504,501,498,499,502,499,495,502,501,499,500,498,500,502,501,498,498,498,500,503,502,504,500,502,503,500,504,506,503,504,
857,499,498,499,506,495,503,504,501,500,497,500,498,505,498,500,498,503,497,498,503,498,503,497,500,501,499,499,499,501,502,502,502,501,498,498,502,505,501,503,502,495,498,505,493,500,501,502,500,501,503,502,501,504,501,499,502,499,495,499,499,501,499,501,497,499,502,498,495,504,500,500,502,500,499,501,501,498,499,498,505,498,503,501,500,500,495,501,499,500,499,500,499,504,499,502,503,497,500,496,497,502,501,497,502,496,499,501,498,497,506,501,500,500,501,500,500,504,503,498,500,500,501,498,503,502,503,499,499,496,496,504,495,500,499,502,501,499,501,504,502,495,493,499,501,496,499,502,498,497,502,501,496,499,499,504,496,497,502,498,500,502,501,504,501,502,506,499,496,498,502,501,500,501,500,502,499,496,498,502,501,507,495,504,503,501,499,500,500,494,501,496,498,502,498,499,499,504,502,502,500,503,493,504,504,496,501,500,498,497,499,498,500,498,498,501,503,497,501,500,497,505,500,497,499,498,502,498,503,505,498,499,497,497,494,495,504,501,496,497,503,499,495,498,497,499,499,502,499,504,493,498,502,500,500,502,501,
861,501,498,498,495,498,502,502,506,499,498,501,502,498,502,500,498,499,502,501,500,498,502,498,498,498,500,498,500,497,502,501,500,499,499,502,502,497,501,500,499,497,502,502,502,497,499,500,503,498,501,502,499,499,503,498,500,506,498,504,499,497,500,499,500,497,500,500,504,499,501,501,499,503,504,502,501,500,500,499,500,498,501,501,499,502,501,503,502,497,498,495,500,506,500,503,496,496,502,498,499,497,498,496,500,500,501,496,499,501,498,500,500,499,503,502,502,501,501,501,505,504,498,497,496,501,499,499,501,503,497,499,502,500,504,499,505,499,498,502,499,500,497,498,498,496,502,501,497,498,500,496,502,499,498,500,502,501,499,502,502,499,500,500,501,499,499,499,503,500,497,494,498,501,497,497,499,502,500,501,499,501,501,498,499,500,501,498,499,500,497,498,503,496,499,500,498,501,502,494,498,503,503,499,496,498,499,499,502,498,498,494,497,503,499,503,502,498,502,503,504,498,503,502,496,500,501,495,500,501,505,499,494,497,500,500,504,498,500,501,498,502,503,502,499,500,500,501,501,499,499,497,499,496,497,499,493,
865,499,497,497,502,499,504,502,503,499,499,500,502,503,496,498,496,498,504,498,499,503,499,501,500,497,495,501,503,504,501,501,497,500,496,501,500,497,505,502,504,498,500,501,499,498,501,499,500,502,500,497,500,492,500,498,496,505,502,496,499,497,502,491,501,499,500,500,499,498,501,501,499,497,499,502,499,497,500,496,498,500,500,502,500,500,498,501,502,496,501,502,496,496,501,500,503,498,499,496,498,498,497,496,497,499,502,501,501,503,501,499,498,495,498,498,493,500,494,502,497,501,491,496,498,500,493,503,500,499,504,498,504,501,502,500,500,503,502,493,501,501,500,503,495,500,496,499,498,500,501,500,503,501,504,498,501,501,502,503,499,500,498,502,499,500,500,503,497,498,499,499,497,501,497,501,497,502,500,501,499,497,499,495,505,498,499,497,499,498,500,499,502,499,506,503,499,499,502,498,500,499,499,497,495,499,504,493,502,499,499,496,502,499,503,501,503,505,501,498,497,502,508,499,497,500,498,502,494,503,503,500,501,505,503,503,501,500,502,500,500,498,499,498,504,505,500,500,497,500,509,499,496,499,497,500,501,
869,504,504,501,497,499,501,496,497,501,500,505,499,497,496,499,504,499,498,499,499,501,498,497,501,501,501,501,501,501,495,500,501,494,502,500,501,497,499,497,501,503,495,497,499,501,500,496,502,501,501,505,500,498,499,500,503,496,501,501,502,495,499,501,500,501,496,500,500,494,499,499,499,501,498,502,501,500,500,504,501,498,499,502,500,500,498,500,501,498,498,503,501,500,497,494,499,499,495,502,500,503,499,499,500,503,500,500,503,500,501,498,498,502,500,494,500,500,499,495,500,501,497,498,503,500,498,503,497,499,496,501,505,500,500,497,501,502,498,500,502,500,500,496,505,503,498,505,502,500,502,498,502,502,498,496,507,500,500,497,501,497,497,500,499,498,501,499,500,500,496,496,498,499,501,498,503,498,495,502,497,499,499,501,496,500,505,506,498,495,498,495,499,504,504,500,497,497,497,503,500,495,500,499,499,501,502,501,500,501,503,504,503,492,498,504,501,498,498,504,498,499,497,500,505,500,498,504,502,503,497,500,501,506,499,498,498,505,500,499,498,496,501,495,501,501,499,497,496,498,498,499,498,502,501,497,500,
873,499,498,501,499,499,499,498,498,500,497,500,498,495,502,497,500,497,501,500,500,502,500,501,501,501,498,503,496,498,496,500,501,503,499,501,497,502,497,504,503,500,498,498,500,502,497,500,498,505,496,502,499,501,497,496,500,501,506,498,497,499,501,503,498,500,498,500,499,498,501,502,499,500,501,494,500,502,496,495,498,498,499,501,499,499,502,502,498,501,500,501,503,498,502,500,501,505,497,500,499,497,499,505,502,493,500,500,501,498,500,496,501,502,502,495,504,503,501,500,499,498,503,500,497,497,504,502,504,496,500,498,497,499,503,500,500,495,498,499,499,501,499,499,497,506,506,499,500,498,500,503,501,498,504,499,498,492,499,498,501,500,503,501,501,501,494,498,498,497,499,497,499,502,502,502,500,498,497,496,505,494,499,502,496,502,498,504,502,504,498,499,499,502,496,497,494,503,497,502,499,495,503,502,502,503,500,503,502,498,504,503,499,502,501,498,495,500,495,499,501,501,496,501,497,498,499,502,500,493,500,498,503,500,501,497,500,500,500,498,498,501,497,502,498,502,505,500,499,500,502,502,500,497,502,501,495,
877,499,496,498,501,502,499,501,504,497,499,502,497,501,503,502,500,497,501,505,499,498,500,498,500,500,502,500,498,496,495,499,503,497,496,499,500,501,496,503,501,497,501,500,503,501,498,502,498,504,495,498,500,504,499,498,497,496,500,502,500,502,499,501,503,495,499,499,503,500,496,498,502,501,498,501,500,502,499,497,501,503,500,500,501,498,501,501,503,501,496,498,499,498,499,496,500,498,503,500,502,501,500,498,502,500,503,499,496,501,500,499,499,503,497,500,501,503,498,501,501,497,501,500,498,500,501,499,500,503,500,501,499,500,495,498,501,501,499,504,498,501,504,504,498,500,498,501,503,500,499,504,498,501,502,501,497,501,500,500,500,504,502,502,503,501,502,502,499,497,502,502,500,505,503,498,498,496,503,502,500,498,499,500,500,500,500,496,500,503,497,499,504,499,499,500,499,498,498,501,505,504,502,503,504,498,500,501,503,497,502,502,505,501,498,498,496,501,496,499,500,496,494,497,500,500,499,499,497,498,499,501,496,500,499,500,499,507,500,499,502,502,497,502,500,499,500,496,501,499,496,499,497,503,498,502,498,
881,499,501,497,502,497,503,496,494,497,497,501,496,501,502,504,495,497,502,500,502,499,502,498,499,501,498,500,505,501,503,503,502,500,501,503,502,499,503,499,500,496,500,496,497,502,503,500,502,500,499,499,496,499,501,502,501,498,498,498,504,498,496,500,504,496,502,501,501,503,504,496,499,501,500,500,500,498,497,498,498,498,497,503,500,494,505,500,497,499,498,501,500,495,498,503,499,500,499,497,497,500,501,505,497,499,500,500,500,504,500,499,496,499,503,502,499,504,498,500,501,497,499,497,501,500,497,499,500,499,502,499,497,505,502,501,497,497,499,502,498,499,500,503,498,496,501,497,497,497,501,500,501,500,497,501,498,499,501,502,502,505,501,498,497,498,503,499,505,496,502,500,496,500,494,498,499,501,498,498,502,501,504,502,505,495,503,495,499,501,499,501,499,497,503,501,502,500,503,495,505,501,498,499,500,500,498,495,497,500,499,494,501,499,499,504,502,501,504,500,501,498,498,496,504,503,501,496,500,501,498,504,499,497,498,501,499,499,502,502,505,502,497,498,499,498,498,497,500,503,497,499,501,501,499,503,502,
885,503,501,500,500,500,502,499,499,501,501,499,504,500,505,501,501,501,499,501,499,502,501,502,499,498,494,500,502,497,504,498,499,502,499,498,503,503,500,500,495,501,505,501,498,502,499,501,502,499,498,498,504,498,502,498,499,496,498,499,501,503,500,497,499,499,498,500,500,500,500,500,497,498,499,496,503,501,502,499,501,502,499,501,498,500,493,500,497,501,496,497,503,497,503,500,499,499,500,500,498,498,501,499,503,502,498,498,500,498,498,502,499,496,499,499,504,499,499,498,495,500,501,501,498,503,502,502,497,499,494,501,499,499,502,501,501,502,503,501,497,499,501,496,499,497,498,499,494,501,502,500,497,501,498,496,501,502,504,503,502,498,497,504,499,500,499,497,501,503,503,497,500,499,496,502,501,501,498,501,501,500,499,499,501,498,502,501,501,494,501,498,499,500,501,496,502,496,499,501,498,503,502,497,502,495,502,494,496,503,499,498,498,502,495,502,504,500,498,503,506,502,500,501,500,499,502,503,505,499,498,496,499,499,499,504,500,500,501,503,499,497,498,500,499,500,498,500,500,499,499,500,501,503,500,494,504,
889,502,503,503,499,502,502,502,493,498,505,504,502,497,500,495,498,505,502,504,500,503,498,499,498,497,497,503,497,498,500,500,499,496,503,498,495,497,499,501,502,500,498,500,496,504,496,501,501,496,503,500,499,501,499,496,502,497,494,496,501,500,501,507,497,498,497,498,502,501,498,505,501,498,497,494,497,499,504,499,498,499,504,501,502,502,498,503,499,495,496,495,498,501,503,500,502,500,501,500,498,497,500,494,498,500,495,501,498,500,499,501,501,500,495,500,503,499,502,503,502,504,498,502,503,499,500,500,504,498,498,498,499,499,500,495,502,501,500,502,500,501,502,497,500,501,496,496,494,500,495,500,500,503,499,500,499,500,498,500,501,502,502,498,501,500,502,498,501,502,498,498,502,504,503,502,497,499,505,496,497,501,500,499,499,505,498,498,496,494,501,502,504,499,498,500,497,502,498,501,499,498,499,498,498,502,501,500,500,499,500,500,501,498,499,495,498,499,496,501,501,503,500,500,501,500,496,502,502,502,499,501,497,497,503,502,500,498,498,500,496,499,501,499,505,498,492,500,501,498,502,501,501,502,496,495,502,
893,495,502,501,502,499,502,506,504,497,503,499,500,505,498,499,501,502,500,497,496,500,501,497,501,500,503,497,499,500,496,496,503,500,504,496,496,503,500,498,498,502,499,502,503,502,496,503,497,499,502,500,501,500,503,498,498,502,500,498,499,503,499,502,494,495,501,502,497,502,496,501,503,499,498,497,502,505,498,498,502,499,500,501,501,500,501,498,503,499,503,502,497,500,495,500,500,503,504,498,496,500,504,497,503,497,499,497,499,499,506,499,500,500,500,501,495,500,499,505,502,500,498,499,499,497,502,495,496,501,504,495,502,498,498,501,503,502,503,496,502,502,497,497,502,502,494,500,501,498,499,502,499,498,501,502,499,498,495,495,500,499,501,498,505,504,499,500,496,498,496,500,499,499,501,501,506,501,498,499,500,499,497,501,499,501,496,499,500,500,498,499,500,501,501,501,504,505,503,500,504,501,500,496,494,505,503,500,503,504,500,500,503,504,502,498,496,500,500,497,499,499,497,504,500,500,500,501,500,499,500,505,499,503,502,499,498,502,496,501,498,500,504,505,498,502,503,503,498,497,500,500,500,501,505,501,498,
897,498,499,503,498,502,500,500,500,495,502,499,503,499,496,503,504,504,498,496,500,498,497,499,495,502,501,497,500,503,497,496,504,498,501,500,497,496,501,500,503,500,502,497,501,498,503,498,500,499,501,501,499,501,500,503,506,501,502,500,501,501,501,496,498,500,500,502,499,501,501,501,500,498,503,501,499,501,499,503,502,502,496,494,498,497,500,508,498,500,502,503,495,502,495,500,505,499,497,500,500,501,501,496,502,501,498,495,500,499,498,498,497,496,504,497,499,500,496,499,496,499,500,496,500,493,498,496,505,503,506,497,499,502,501,499,495,501,492,496,499,500,503,499,497,502,501,498,503,502,503,503,497,500,500,500,499,501,501,499,500,500,504,499,500,497,498,501,500,500,499,505,499,500,500,503,501,498,500,504,499,498,499,500,496,500,496,503,501,505,499,497,497,498,503,496,501,502,501,499,501,500,500,504,500,498,499,501,498,502,498,502,502,501,501,497,496,502,501,497,497,501,500,504,500,502,501,497,501,505,498,501,502,504,499,500,498,497,503,501,500,501,505,502,497,497,501,500,499,502,504,504,498,497,504,504,497,
901,502,500,501,496,505,504,500,504,502,499,501,503,500,499,496,498,501,500,501,502,500,503,500,503,506,502,504,500,493,499,501,502,505,500,503,505,500,501,497,502,502,498,498,498,496,499,500,499,501,494,501,496,500,499,501,499,498,505,505,502,496,498,505,500,500,501,499,496,502,506,499,503,498,504,503,496,501,501,502,498,499,500,501,502,499,501,503,501,503,500,500,500,501,502,501,501,500,496,499,499,496,499,503,499,498,504,501,504,500,499,496,501,498,500,499,500,500,499,498,499,504,505,496,498,498,502,499,498,495,499,501,497,502,497,500,499,499,500,503,501,497,495,499,502,495,499,501,500,496,501,502,499,499,501,503,498,500,501,499,497,499,494,498,498,502,501,500,506,500,501,502,495,497,496,505,502,502,504,505,498,499,502,501,502,504,501,498,504,502,503,499,493,505,503,500,498,501,499,498,501,502,500,500,504,498,500,501,495,500,499,500,499,504,500,499,500,504,499,498,499,501,504,503,498,503,502,496,501,501,502,503,500,502,500,502,497,498,500,501,500,497,499,500,501,503,498,501,504,500,500,503,497,498,501,503,503,
905,502,498,498,502,503,503,494,498,503,495,493,509,500,499,501,505,500,498,498,499,497,494,500,500,501,497,502,498,501,496,498,500,504,495,504,508,502,498,500,498,498,501,500,498,500,491,504,502,500,502,501,505,506,496,500,498,503,503,501,501,502,492,502,503,497,498,499,497,501,498,496,501,502,498,506,496,502,498,498,496,497,503,498,500,503,503,504,498,498,496,497,498,496,503,497,498,497,498,498,505,499,499,502,498,496,504,504,498,505,500,500,499,498,495,502,499,504,497,495,499,498,497,498,499,499,499,501,499,499,500,499,500,499,500,503,502,501,502,504,499,504,502,497,500,498,503,499,499,500,502,498,501,498,504,504,503,495,500,502,495,499,498,499,499,502,501,501,501,498,499,499,498,501,497,494,499,499,501,502,502,502,495,503,504,498,500,497,496,502,497,503,504,501,496,499,498,498,498,501,498,497,503,497,502,500,498,503,502,499,505,494,500,498,499,501,504,497,497,502,499,504,501,500,499,497,500,499,501,499,504,496,504,499,500,500,500,499,500,503,500,498,493,499,501,503,499,494,498,504,496,505,497,501,500,503,505,
909,499,500,500,496,501,499,504,498,501,496,495,499,503,502,502,499,504,498,497,500,497,503,502,501,498,502,499,499,502,499,500,499,499,496,502,500,500,497,501,499,502,501,500,497,500,499,500,501,497,497,499,501,497,496,496,499,498,496,501,501,501,495,495,500,495,497,497,500,496,495,497,495,501,499,501,500,496,499,497,501,501,499,504,498,499,501,503,499,498,498,500,503,498,498,501,498,501,503,498,501,503,500,495,502,497,499,498,500,500,502,501,498,502,496,501,505,500,498,502,503,499,500,502,504,500,499,499,500,505,496,503,504,502,504,498,499,500,500,500,500,500,501,497,503,503,495,495,498,503,501,500,503,502,500,499,498,498,498,500,500,499,500,498,502,496,499,497,497,503,503,497,500,500,502,496,497,501,500,496,500,501,502,499,499,498,504,502,503,496,505,500,501,500,495,498,502,499,497,500,497,499,502,500,500,499,501,501,501,501,501,501,499,501,501,502,504,496,503,497,498,502,500,498,502,497,498,501,498,500,503,497,499,499,500,501,505,498,498,499,502,502,499,504,500,500,497,499,500,501,500,496,501,500,499,499,497,
913,501,502,501,504,497,495,501,498,500,503,499,495,501,501,499,500,499,498,501,500,499,502,497,501,499,498,498,501,501,505,496,502,505,494,502,497,501,499,502,501,502,502,498,501,501,499,500,500,497,497,502,500,497,498,501,496,499,496,500,499,499,502,499,497,503,499,502,500,500,498,504,496,499,501,498,501,500,498,501,498,501,499,502,502,499,498,499,497,497,501,502,498,501,503,504,498,499,500,497,496,499,501,499,502,503,499,501,493,501,497,499,499,499,499,499,497,499,502,499,500,498,499,501,498,496,499,500,499,499,502,500,498,499,500,497,500,498,498,502,498,496,499,500,500,502,499,500,499,501,500,498,500,505,501,500,501,504,498,496,499,503,503,498,497,501,504,500,501,501,503,499,498,498,502,500,505,505,500,502,500,502,502,500,505,501,500,502,501,499,503,503,503,500,501,501,503,503,500,497,500,502,498,499,502,497,503,497,501,502,503,503,495,499,498,502,500,499,505,499,504,504,500,496,495,498,503,504,497,502,501,501,501,498,501,503,502,497,497,496,499,501,499,499,497,500,497,504,497,497,502,501,498,499,502,494,499,
917,500,502,501,502,499,503,497,497,501,500,501,501,500,497,501,498,501,504,502,495,501,503,497,505,500,497,499,502,500,503,503,505,500,502,499,488,499,500,501,501,502,501,503,502,506,506,501,500,497,506,501,499,500,502,499,504,496,498,497,501,501,498,501,500,497,502,497,501,497,501,500,498,501,497,499,501,504,500,500,498,501,500,500,500,496,502,499,497,500,498,500,501,500,501,498,499,498,498,502,492,498,504,494,500,499,500,499,500,500,497,500,504,499,502,501,496,500,502,499,500,498,499,497,500,499,501,501,506,497,499,497,500,501,501,502,500,503,500,500,500,501,498,500,500,502,502,498,504,503,498,503,496,500,499,497,501,499,501,500,503,503,500,502,499,502,498,501,500,498,500,498,503,501,499,506,504,502,496,500,501,501,502,500,500,502,498,499,499,500,499,497,499,500,502,502,501,498,500,496,500,498,496,498,503,499,500,498,500,499,502,501,505,502,503,501,497,503,500,501,499,504,504,502,500,498,501,503,500,498,500,508,496,498,500,497,499,499,500,500,499,499,500,498,504,499,503,494,510,501,499,500,499,501,502,496,498,
921,501,501,499,504,498,506,497,499,498,504,503,498,498,502,503,493,495,504,497,499,503,503,498,501,499,498,497,502,500,501,499,498,498,506,494,496,501,499,505,499,500,501,497,503,497,505,500,500,493,503,500,501,499,500,496,504,500,504,499,500,499,501,502,497,500,499,501,498,501,503,501,503,502,499,498,504,500,499,502,500,497,499,501,496,499,500,502,505,501,501,498,496,497,498,500,500,501,502,502,499,501,497,497,501,501,502,498,499,498,503,500,499,496,504,505,498,503,503,499,500,498,500,496,499,504,503,498,502,499,502,500,496,495,501,499,497,497,496,502,502,500,500,500,496,497,497,498,501,500,498,502,498,499,499,502,498,497,499,500,495,500,495,501,503,500,497,501,503,500,495,500,503,496,501,497,506,497,495,500,499,496,498,498,498,502,495,498,500,502,499,503,498,500,505,499,496,501,503,502,500,499,497,498,500,497,502,504,502,500,498,500,502,502,504,499,496,505,501,500,496,498,502,504,502,505,502,501,502,502,501,501,500,502,498,504,496,499,500,499,500,500,502,500,502,503,499,496,501,497,498,502,500,496,504,499,499,
925,497,500,499,499,498,498,495,498,502,498,502,498,500,496,497,497,498,492,501,502,504,501,499,500,496,501,501,497,499,498,500,498,501,501,497,503,500,501,499,499,500,501,497,502,502,498,501,500,502,501,500,498,502,499,505,499,499,502,498,499,500,499,499,494,499,500,498,499,501,498,501,503,497,500,503,499,497,498,500,498,497,499,499,502,500,502,500,503,504,497,499,499,500,496,500,503,500,496,502,501,501,500,505,500,502,495,498,500,502,498,497,497,497,502,502,502,499,493,501,500,502,502,501,502,499,499,500,501,504,506,498,500,499,503,496,498,499,499,501,501,502,498,500,499,500,502,500,505,500,495,500,500,504,500,500,498,499,499,500,498,498,500,499,503,494,499,500,497,505,498,500,501,502,501,500,496,500,504,504,503,501,502,503,500,500,495,500,501,500,504,500,501,499,501,501,502,501,500,504,499,499,503,502,498,501,503,501,503,498,498,499,495,502,499,500,502,502,497,504,501,500,500,506,497,497,500,500,504,500,501,495,498,499,499,499,502,500,500,500,498,504,500,500,497,501,503,499,500,503,500,498,499,499,501,501,505,
929,503,497,502,499,501,500,503,499,501,498,499,501,503,501,497,501,503,499,500,500,502,498,501,497,500,500,503,500,501,499,498,501,502,499,500,502,494,500,500,501,501,498,501,500,502,498,501,497,503,502,499,499,499,500,500,501,497,498,502,498,500,500,495,500,504,501,500,504,505,499,497,498,504,502,500,497,494,500,496,498,502,502,500,500,502,500,505,502,501,498,502,498,500,499,501,501,499,494,499,504,498,494,501,504,499,499,501,503,502,490,501,505,496,497,502,502,495,499,498,501,502,500,503,499,498,503,500,502,499,501,501,502,500,503,501,500,502,498,499,500,501,502,497,506,498,499,503,499,499,495,502,499,499,497,503,500,501,501,498,501,503,501,498,503,499,497,501,500,502,496,502,498,506,498,502,495,502,501,498,499,499,498,501,502,500,500,494,498,497,503,500,500,504,499,495,501,499,501,495,498,505,502,502,500,500,500,500,501,496,496,502,500,502,498,500,501,498,499,501,505,502,496,503,496,500,497,501,501,497,499,496,505,499,505,496,499,497,502,503,501,499,498,500,496,499,497,500,500,499,501,501,500,501,501,500,501,
933,500,499,503,503,498,502,500,500,504,498,499,500,499,502,499,500,502,496,500,498,500,499,501,498,502,498,500,501,502,498,499,495,498,498,499,503,499,501,495,501,499,497,500,501,499,499,495,498,497,498,504,500,502,499,497,500,503,497,502,500,502,503,497,502,498,499,498,500,505,500,495,499,504,502,502,503,504,499,505,503,501,497,499,502,501,495,498,497,499,500,496,497,498,502,501,499,500,503,495,500,503,500,501,500,495,495,501,500,499,501,504,501,496,498,499,498,497,500,503,499,500,499,501,498,499,499,501,499,498,502,503,497,501,500,502,501,503,504,502,499,500,501,501,504,502,498,503,498,502,503,501,502,495,503,502,501,502,502,499,500,498,501,496,503,500,499,499,497,502,498,498,502,502,501,501,500,497,498,500,497,500,497,502,501,499,498,497,498,500,503,502,500,499,495,501,498,505,499,496,500,501,500,502,500,494,500,499,501,499,502,500,500,500,496,500,505,497,503,498,504,503,499,497,499,505,500,495,497,503,504,498,496,503,501,500,498,502,500,501,499,499,502,500,500,502,496,505,503,500,502,499,498,502,498,503,500,
937,501,501,505,501,499,499,501,502,494,502,498,504,495,502,505,502,494,499,502,502,500,500,499,502,499,498,499,503,504,503,503,499,502,505,500,500,501,496,504,504,503,500,500,501,498,499,499,494,496,499,501,500,501,502,500,497,499,496,498,506,499,500,503,503,504,495,497,502,497,500,497,502,500,499,500,501,499,501,500,507,500,500,502,499,500,499,501,499,499,499,501,501,500,502,500,501,499,501,498,497,497,500,503,504,503,496,498,496,499,505,497,502,503,499,497,497,500,501,501,501,502,494,503,502,500,504,498,502,501,500,499,503,500,499,502,501,503,500,502,495,502,504,501,497,495,500,499,500,498,502,498,502,496,500,501,497,502,500,500,500,501,497,498,498,501,504,498,500,502,507,500,496,497,501,502,501,501,497,502,500,499,500,501,499,501,494,499,501,499,498,502,501,500,498,502,503,499,501,501,498,499,497,501,502,499,496,500,499,502,501,497,501,496,500,501,500,497,506,499,501,501,500,496,503,499,497,496,499,501,501,499,501,502,503,498,499,501,498,500,497,496,500,499,504,501,497,502,502,500,500,499,501,498,499,501,497,
941,498,504,495,498,500,496,497,498,496,501,497,503,498,497,502,500,501,501,495,497,500,505,493,501,499,503,499,499,500,502,499,503,502,501,498,498,503,500,504,502,501,502,494,503,501,502,502,497,501,500,498,498,500,497,502,495,497,501,502,500,498,503,503,502,498,500,498,501,503,500,504,498,498,500,503,500,500,499,500,494,498,496,497,496,493,498,501,502,496,502,504,500,500,498,502,498,501,499,505,502,500,498,500,496,504,499,502,496,498,499,501,500,500,496,504,504,499,499,499,496,496,499,501,498,499,497,496,501,498,498,501,499,501,501,503,498,493,499,503,498,499,503,505,496,496,500,502,499,497,498,497,497,500,501,501,497,500,499,505,503,503,500,503,498,503,500,508,497,500,502,503,504,499,500,501,503,499,502,501,497,500,498,502,502,503,499,502,501,501,492,498,500,497,502,502,499,496,497,501,501,496,500,501,501,500,500,501,503,502,503,501,501,505,498,499,497,501,501,503,497,505,500,500,500,500,496,501,500,499,500,501,500,500,499,506,501,504,502,498,500,496,503,500,503,503,500,502,494,496,500,503,502,498,502,501,504,
